room_reservation_id,reservation_ref_no,room_no,reserved_date,booking_status,room_type,negotiated_price,no_of_occupant,no_of_adults,no_of_children,no_of_children_above_six,no_of_extra_beds,negotiated_extra_bed_rate,ep,ep_count,ep_rate,cp,cp_count,cp_rate,map_lunch,map_lunch_count,map_lunch_rate,ap,ap_count,ap_rate,total_room_amount,room_rate,total_without_tax,breakfast_count,lunch_count,dinner_count,breakfast_price,lunch_price,dinner_price,other_meal,other_meal_count,other_meal_rate,bst,service_charge,reservation_status,entered_by,map_dinner,map_dinner_count,map_dinner_rate,schedule_type,cnb_count_six_to_ten,cnb_count_below_six,foc
10973,RES_13052026_01689,601,2026-06-01,open,Deluxe Studio Apartment,1662.34,3,3,0,0,1,935.06,f,0,0.00,f,0,0.00,f,0,0.00,f,0,0.00,5295.01,1662.34,4584.42,3,0,3,277.06,385.28,385.28,f,0,0.00,1.00,1.00,reserved,Sherab Dorji,t,3,1987.02,single,0,0,f
10842,RES_07052026_01652,302,2026-06-01,close,Standard Double,1662.34,2,2,0,0,0,571.43,f,0,0.00,f,0,0.00,f,0,0.00,f,0,0.00,3400.02,1662.34,2943.74,0,0,0,277.06,363.64,363.64,f,0,0.00,1.00,1.00,reserved,,t,2,1281.40,single,0,0,f
10843,RES_07052026_01652,303,2026-06-01,close,Standard Double,1662.34,2,2,0,0,0,571.43,f,0,0.00,f,0,0.00,f,0,0.00,f,0,0.00,3400.02,1662.34,2943.74,2,0,2,277.06,363.64,363.64,f,0,0.00,1.00,1.00,reserved,,t,2,1281.40,single,0,0,f
10844,RES_07052026_01653,302,2026-06-05,open,Standard Double,1662.34,3,3,0,0,1,571.43,f,0,0.00,f,0,0.00,f,0,0.00,f,0,0.00,4500.00,1662.34,3896.10,3,0,3,207.79,346.32,346.32,f,0,0.00,1.00,1.00,reserved,,t,3,1662.33,multiple,0,0,f
11453,RES_02062026_01838,7031,2026-06-05,open,Family Apartment(King),1662.34,2,2,0,0,0,935.06,f,0,0.00,t,2,554.12,f,0,0.00,f,0,0.00,2560.01,1662.34,2216.46,0,0,0,277.06,385.28,385.28,f,0,0.00,1.00,1.00,reserved,,f,0,0.00,single,0,0,f
11454,RES_02062026_01838,7032,2026-06-05,open,Family Apartment(Twin),1662.34,2,2,0,0,0,935.06,f,0,0.00,t,2,554.12,f,0,0.00,f,0,0.00,2560.01,1662.34,2216.46,0,0,0,277.06,385.28,385.28,f,0,0.00,1.00,1.00,reserved,,f,0,0.00,single,0,0,f
11451,RES_02062026_01838,6031,2026-06-05,open,Family Apartment(King),1662.34,2,2,0,0,0,935.06,f,0,0.00,t,2,554.12,f,0,0.00,f,0,0.00,2560.01,1662.34,2216.46,0,0,0,277.06,385.28,385.28,f,0,0.00,1.00,1.00,reserved,,f,0,0.00,single,0,0,f
11452,RES_02062026_01838,6032,2026-06-05,open,Family Apartment(Twin),1662.34,2,2,0,0,0,935.06,f,0,0.00,t,2,554.12,f,0,0.00,f,0,0.00,2560.01,1662.34,2216.46,0,0,0,277.06,385.28,385.28,f,0,0.00,1.00,1.00,reserved,,f,0,0.00,single,0,0,f
10851,RES_07052026_01655,7031,2026-06-03,close,Family Apartment(King),1662.34,2,2,0,0,0,571.43,f,0,0.00,f,0,0.00,f,0,0.00,f,0,0.00,3400.02,1662.34,2943.74,2,0,2,277.06,363.64,363.64,f,0,0.00,1.00,1.00,reserved,,t,2,1281.40,single,0,0,f
10852,RES_07052026_01655,702,2026-06-03,close,Executive Apartment,1662.34,2,2,0,0,0,571.43,f,0,0.00,f,0,0.00,f,0,0.00,f,0,0.00,3400.02,1662.34,2943.74,2,0,2,277.06,363.64,363.64,f,0,0.00,1.00,1.00,reserved,,t,2,1281.40,single,0,0,f
10853,RES_07052026_01655,7032,2026-06-03,close,Family Apartment(Twin),1662.34,2,2,0,0,0,571.43,f,0,0.00,f,0,0.00,f,0,0.00,f,0,0.00,3400.02,1662.34,2943.74,2,0,2,277.06,363.64,363.64,f,0,0.00,1.00,1.00,reserved,,t,2,1281.40,single,0,0,f
